id,model,api_model,prompt_tokens,completion_tokens,total_tokens,latency_s,status
1298819,gemma4-31b,google/gemma-4-31b-it,294,8,302,0.517,ok
1307154,gemma4-31b,google/gemma-4-31b-it,292,6,298,0.91,ok
1375109,gemma4-31b,google/gemma-4-31b-it,292,148,440,8.285,ok
1397562,gemma4-31b,google/gemma-4-31b-it,294,3,297,0.603,ok
1441287,gemma4-31b,google/gemma-4-31b-it,292,17,309,0.819,ok
1443966,gemma4-31b,google/gemma-4-31b-it,292,49,341,12.724,ok
1475231,gemma4-31b,google/gemma-4-31b-it,292,143,435,2.93,ok
1718150,gemma4-31b,google/gemma-4-31b-it,292,276,568,3.054,ok
652004,gemma4-31b,google/gemma-4-31b-it,292,6,298,0.611,ok
931940,gemma4-31b,google/gemma-4-31b-it,292,5,297,0.928,ok
949486,gemma4-31b,google/gemma-4-31b-it,160,107,267,3.046,ok
988142,gemma4-31b,google/gemma-4-31b-it,298,9,307,0.885,ok
1085262,gemma4-31b,google/gemma-4-31b-it,160,15,175,1.136,ok
1148920,gemma4-31b,google/gemma-4-31b-it,300,147,447,2.99,ok
1229586,gemma4-31b,google/gemma-4-31b-it,298,4,302,0.741,ok
1273536,gemma4-31b,google/gemma-4-31b-it,292,7,299,0.912,ok
1294319,gemma4-31b,google/gemma-4-31b-it,292,5,297,0.693,ok
1346645,gemma4-31b,google/gemma-4-31b-it,292,3,295,2.148,ok
1351896,gemma4-31b,google/gemma-4-31b-it,292,56,348,6.142,ok
1363776,gemma4-31b,google/gemma-4-31b-it,298,4,302,2.389,ok
1379480,gemma4-31b,google/gemma-4-31b-it,292,5,297,3.165,ok
1405670,gemma4-31b,google/gemma-4-31b-it,292,6,298,2.739,ok
1463113,gemma4-31b,google/gemma-4-31b-it,298,3,301,6.848,ok
1483020,gemma4-31b,google/gemma-4-31b-it,292,17,309,3.798,ok
1483743,gemma4-31b,google/gemma-4-31b-it,298,237,535,24.258,ok
1541944,gemma4-31b,google/gemma-4-31b-it,292,5,297,2.239,ok
1578643,gemma4-31b,google/gemma-4-31b-it,292,14,306,2.748,ok
