id,title,original_title,year,poster_title_guess_pro,reason_pro,poster_title_guess_sonnet,reason_sonnet,ocr_chars,overlap_max,imdb_id,poster_path
56383,"Lisa, Lisa","Lisa, Lisa",1974,California Axe Massacre,"The poster clearly displays the title 'California Axe Massacre', which does not match the catalog film 'Lisa, Lisa'.",California Axe Massacre,"Poster clearly shows title 'California Axe Massacre' which does not match catalog film 'Lisa, Lisa' from 1974.",22,0.0,tt0075710,/fj2PR0EnAakr9F0VhUe2uwESmII.jpg
56673,Unborn Sins,Unborn Sins,2007,Tomb of Terrors,"The poster clearly shows 'Tomb of Terrors', which does not match the catalog film 'Unborn Sins'.",Tomb of Terrors,"Poster clearly shows 'Tomb of Terrors' title and is a 50-movie collection, not the 2007 film 'Unborn Sins'.",143,0.0,tt0994979,
58796,Canes,Canes,2006,The Covenant,"The poster clearly displays 'The Covenant', which does not match the catalog film 'Canes'.",The Covenant: Brotherhood of Evil,Poster clearly shows title 'THE COVENANT: Brotherhood of Evil' which does not match catalog film 'Canes' from 2006.,32,0.0,tt0480516,/9tq55sjFuJ2NNt0IPrigFKSJ0u6.jpg
64623,Vendetta,Zai shi zhui hun,1993,Morbidia,"The poster clearly shows the title 'Morbidia', which does not match the catalog film 'Vendetta'.",MORBIDIA,"Poster clearly shows title 'MORBIDIA' with German subtitle, not matching the catalog film 'Vendetta/Zai shi zhui hun' from 1993.",36,0.0,tt0105883,/zdH82Fvty1AzjgS0s33q70Hrflj.jpg
69117,Unseen Evil 2,Unseen Evil 2,2004,Alien 3000,"The poster clearly shows 'Alien 3000', which does not match the catalog film 'Unseen Evil 2'.",ALIEN 3000,Poster clearly shows title 'ALIEN 3000' which does not match catalog entry 'Unseen Evil 2'.,34,0.0,tt0431447,/p13XVpFphqj2Dc92ZRUeYdKBWAf.jpg
69142,The Wrath,The Wrath,2008,Beast Beneath,"The poster clearly shows the title 'Beast Beneath', which does not match 'The Wrath'.",Beast Beneath,Poster clearly shows title 'BEAST BENEATH' which does not match catalog film 'The Wrath'.,49,0.0,tt1072458,/i58d2YSlyrN8yWjncS3UQEqZSCm.jpg
71234,Greed,Greed,2006,Axe,"The poster clearly shows the title 'Axe', which does not match the catalog film 'Greed'.",AXE,"Poster clearly shows title 'AXE' with cast names Jason London, Darlena Tejeiro, Andrea Bogart, not matching catalog film 'Greed' (2006).",93,0.0,tt0401449,/iMraYCxCyB4s0IwlLkPtxrbSt2v.jpg
72654,Parents,Foreldrar,2007,Eltern,"The poster clearly shows the title 'Eltern', which does not match the catalog film 'Parents'.",ELTERN,"Poster clearly shows title 'ELTERN' (German for 'Parents') directed by Ragnar Bragason, but catalog entry is for 'Foreldrar' (Icelandic, 2007), though these may be the same film with different language titles.",571,0.0,tt0997062,/lRsB3AeYdbT3LhEGnIr8GF2rhx0.jpg
74650,Fantasmi,Fantasmi,2014,Paranormal Stories,"The poster clearly shows the title 'Paranormal Stories', which does not match the catalog film 'Fantasmi'.",PARANORMAL STORIES,Poster clearly shows title 'PARANORMAL STORIES' which does not match catalog film 'Fantasmi'.,176,0.0,tt1699122,/vKMfMV1vPsRTiM4YQk603rMTdMh.jpg
76659,Beautiful Swordswomen: Double Seppuku,美女剣士・二人切腹,1990,HARAKIRI,"The poster clearly shows the title 'HARAKIRI', which does not match the catalog film 'Beautiful Swordswomen: Double Seppuku'.",HARAKIRI ONNA HARAKIRI SAKUHISSHO,"Poster clearly shows 'HARAKIRI' as the main title with 'UNEARTHED FILMS' branding, not matching the catalog film 'Beautiful Swordswomen: Double Seppuku' from 1990.",64,0.0,tt0440107,/bLXl3iBAUoDAVK7z3m8kXd7AAye.jpg
80528,The Darkening,The Darkening,1995,The Black Gate,Poster title 'The Black Gate' does not match catalog film 'The Darkening'.,The Black Gate,Poster clearly displays title 'The Black Gate' which does not match catalog entry 'The Darkening'.,28,0.0,tt0125060,/wicP7cM37z3uhNdV5SwoPBZfib6.jpg
81489,Carnivorous,Carnivorous,2007,Hell's Labyrinth,"The poster clearly shows the title 'Hell's Labyrinth', which does not match the catalog film 'Carnivorous'.",Hell's Labyrinth,Poster clearly shows title 'Hell's Labyrinth' which does not match catalog entry 'Carnivorous'.,80,0.0,tt0884237,/uJw5Tb7oCoBoalWKfvTxwt9zVZE.jpg
82828,Melancholia,メランコリア,2004,The Doppelgangger,"The poster clearly shows the title 'The Doppelgangger', which does not match the catalog film 'Melancholia'.",ザ・ドッペルゲンガー (The Doppelganger),"Poster clearly shows title 'THE DOPPELGANGER' in English and Japanese katakana, not 'Melancholia'.",502,0.0,tt5982154,
82972,Curio,Curio,2010,Bad Mommy,"The poster clearly shows the title 'Bad Mommy', which does not match the catalog film 'Curio'.",BAD MOMMY,"Poster clearly displays title 'BAD MOMMY' with tagline 'SECRETS NEVER STAY BURIED', which does not match catalog film 'Curio' (2010).",35,0.0,tt1617072,/fLD3a9bc24ioDcPb2VVwat9HO00.jpg
83833,Nostrum,Nostrum,2010,Psychotica,"The poster clearly displays the title 'Psychotica', which does not match the catalog film 'Nostrum'.",PSYCHOTICA,"Poster clearly displays the title 'PSYCHOTICA' with cast names and production credits, not 'Nostrum'.",436,0.0,tt1630607,/y33jBhkZAX8hw5WYwze44WCT2CE.jpg
84233,Don't Hang Up,Don't Hang Up,1974,Don't Open the Door,"The poster clearly shows a different title, 'Don't Open the Door', which does not match the catalog film 'Don't Hang Up'.",Don't Open the Door,Poster clearly shows title 'DON'T OPEN THE DOOR' which is a different film than 'Don't Hang Up'.,156,0.3333,tt0080648,/1vVhbo2yoVdoxIdkQWPifQtYfaN.jpg
92312,Django the Bastard,Django il bastardo,1969,The Strangers Gundown,"The poster clearly shows a different title, 'The Strangers Gundown', which does not match 'Django the Bastard'.",THE STRANGERS' GUNDOWN,Poster clearly displays 'THE STRANGERS' GUNDOWN' which is a different film title than 'Django the Bastard'.,21,0.3333,tt0064240,/lM9kTdGGSOTkSIHLbXX0SeZRQGr.jpg
95008,Scream... and Die!,Scream... and Die!,1973,The House That Vanished,"The poster clearly shows a different title, 'The House That Vanished', which does not match the catalog film 'Scream... and Die!'.",THE HOUSE THAT VANISHED,Poster clearly shows title 'THE HOUSE THAT VANISHED' which does not match catalog entry 'Scream... and Die!' from 1973.,23,0.0,tt0070655,/34LrQxQMDUboPHwEuy2lTL6R8BQ.jpg
100467,The Hand That Feeds the Dead,La mano che nutre la morte,1974,Evil Face,"The poster clearly shows the title 'Evil Face', which does not match the catalog film 'The Hand That Feeds the Dead'.",EVIL FACE,Poster clearly shows title 'EVIL FACE' which does not match 'The Hand That Feeds the Dead' or its Italian title.,24,0.0,tt0070368,/xoE8nwmet7eQMQRTZ2rRJQmMJ86.jpg
101730,Henge,Henge,2011,Metamorphose,The poster clearly shows a different title 'Metamorphose' and imagery unrelated to 'Henge'.,METAMORPHOSIS,Poster clearly displays title 'METAMORPHOSIS' which does not match catalog film 'Henge' from 2011.,32,0.0,tt2285481,/6lWQjl6cQwBT8lF0a5g52S6n2lb.jpg
102762,Awakening,Awakening,2006,Zombie Night II,"The poster clearly shows the title 'Zombie Night II', which does not match the catalog film 'Awakening'.",ZOMBIE NIGHT II,Poster clearly shows title 'ZOMBIE NIGHT II' which does not match catalog entry 'Awakening' from 2006.,488,0.0,tt0473738,/jUvlPAF8vCYtkmpus3LvwsQGwwd.jpg
109703,Cadaver Bay,Cadaver Bay,2003,Hellbound: Book of the Dead,"The poster clearly shows a different title, 'Hellbound: Book of the Dead', which does not match 'Cadaver Bay'.",Hellbound: Book of the Dead,"Poster clearly shows title 'Hellbound: Book of the Dead' with cast names, not 'Cadaver Bay'.",86,0.0,tt0386352,/nzADzqDkgkilCPaQf1sNsR4X2cB.jpg
109707,Flora,Flora,1989,,"The image is a collection of Jan Svankmajer's shorts, not a specific film titled 'Flora'.",The Collected Shorts of Jan Svankmajer,"Poster clearly shows 'The Collected Shorts of Jan Svankmajer' from The Kimstim Collection, not the 1989 film 'Flora'.",117,0.0,tt0169912,/jgofwLTLMVt2Xp4aPSqly7Nnmm6.jpg
110772,Stille Nacht IV: Can't Go Wrong Without You,Stille Nacht IV: Can't Go Wrong Without You,1993,Phantom Museums: The Short Films of the Quay Brothers,Poster title is clearly different from catalog film title.,Phantom Museums: The Short Films of the Quay Brothers,Poster clearly shows 'Phantom Museums: The Short Films of the Quay Brothers' which is a different film than 'Stille Nacht IV: Can't Go Wrong Without You' from 1993.,68,0.0,tt0357201,/cgQCJZaVoeCkdt13eh9ot8acZqd.jpg
122742,El asesino del parking,El asesino del parking,2006,THROTTLE,"The poster clearly shows the title 'THROTTLE', which does not match the catalog film 'El asesino del parking'.",THROTTLE,"Poster clearly shows title 'THROTTLE' with Japanese text, not matching 'El asesino del parking' from 2006.",172,0.25,tt0452275,/gEi29ztmZ5G8qvDn5MdYwYd4tpC.jpg
124046,B.O.R.N.,B.O.R.N.,1989,Merchants of Death,"The poster clearly shows the title 'Merchants of Death', which does not match the catalog film 'B.O.R.N.'",Merchants of Death,Poster clearly displays title 'Merchants of Death' which does not match catalog film 'B.O.R.N.' from 1989.,21,0.0,tt0094693,/trUBdVKkA3K2G1czud2hejVlYGl.jpg
125294,Rough Draft,Rough Draft,,diary of a serial killer,"The poster clearly shows a different title, 'diary of a serial killer', which does not match the catalog film 'Rough Draft'.",diary of a serial killer.,Poster clearly shows title 'diary of a serial killer.' which does not match catalog entry 'Rough Draft'.,90,0.0,,/eYgvetyNQK3paZqZ1UvPjbvRuHy.jpg
128655,Haunted High,Haunted High,2012,ghostquake,"The poster clearly shows the title 'ghostquake', which does not match the catalog film 'Haunted High'.",GHOSTQUAKE,"Poster clearly shows title 'GHOSTQUAKE' with Danny Trejo, not 'Haunted High'.",68,0.0,tt2034009,/vvBldMlCmq7WDI6eoWIHSAe1JfE.jpg
131575,Fear Has 1000 Eyes,Skräcken har 1000 ögon,1970,The Sensuous Sorceress,"The poster clearly shows a different title, 'The Sensuous Sorceress', which does not match 'Fear Has 1000 Eyes'.",The Sensuous Sorceress,Poster clearly shows title 'The Sensuous Sorceress' which does not match 'Fear Has 1000 Eyes' or 'Skräcken har 1000 ögon'.,85,0.0,tt0070703,/z3lzHWlGRs5pD3qgDlIDtFAMojH.jpg
131815,The Sea Serpent,Serpiente de mar,1985,HYDRA,"The poster clearly shows 'HYDRA', not 'The Sea Serpent'.",HYDRA MONSTER FROM THE DEEP,"Poster clearly shows title 'HYDRA' not 'The Sea Serpent' or 'Serpiente de mar', indicating different film.",27,0.3333,tt0088089,/u04cvzPQTmz60zxTbXFCgPH3ncO.jpg
135973,Pennhurst,Pennhurst,2012,The Lost Episode,"The poster clearly shows a different title, 'The Lost Episode', which does not match the catalog film 'Pennhurst'.",THE LOST EPISODE,Poster clearly displays title 'THE LOST EPISODE' which does not match catalog film 'Pennhurst'.,55,0.0,tt1720189,/mFjoBkzeDbBmxM8jVfYcHOmmIac.jpg
144839,Evil Stalks This House,Evil Stalks This House,1981,Tales of the Haunted,"The poster clearly shows 'Tales of the Haunted', not 'Evil Stalks This House'.",Tales of the Haunted,Poster clearly shows 'Tales of the Haunted' title which does not match 'Evil Stalks This House' from 1981.,20,0.0,tt0233673,/e79AoyQhHzuzFR4yPY5ewQqhAFp.jpg
144909,Charm,Charm,2013,Random Acts of Violence,"The poster clearly displays the title 'Random Acts of Violence', which does not match the catalog film 'Charm'.",Random Acts of Violence,Poster clearly shows title 'Random Acts of Violence' which does not match catalog film 'Charm' from 2013.,109,0.0,tt1954330,/pS9d7Qz5IjbOzJr1XJPNhuaUm4r.jpg
163543,Shelf Life,Shelf Life,2004,subHUMAN,"The poster clearly displays the title 'subHUMAN', which does not match the catalog film 'Shelf Life'.",SUBHUMAN,"Poster clearly shows title 'SUBHUMAN' with tagline 'Now the human harvest begins', not 'Shelf Life'.",98,0.0,tt0397636,/mCwnXpiPIyCMeWnIGVzsdRs6PqW.jpg
164423,Ghost of the Needle,Ghost of the Needle,2003,Asfixia,"The poster clearly shows the title 'Asfixia', which does not match 'Ghost of the Needle'.",ASFIXIA,Poster clearly shows title 'ASFIXIA' which is a different film than 'Ghost of the Needle'.,207,0.25,tt0367798,/1LS2hvSXLx7T8CWUgpcUwwBHC46.jpg
179344,Bitten,Bitten,2008,Zombie Feast,"The poster clearly displays 'Zombie Feast', which does not match the catalog film 'Bitten'.",Ultimate Zombie Feast,Poster clearly shows title 'Ultimate Zombie Feast' which does not match catalog film 'Bitten' from 2008.,144,0.0,tt2330739,
179358,KidZ,KidZ,2010,Zombie Feast,"The poster clearly displays 'Zombie Feast', which does not match the catalog film 'KidZ'.",Ultimate Zombie Feast,Poster clearly shows title 'Ultimate Zombie Feast' which does not match catalog entry 'KidZ'.,144,0.0,tt1733526,
192252,The Princess and Toxicant,蛇山蠱女,1977,WITCHCRAFT OF MIAO PEOPLE,The poster clearly shows a different title and imagery unrelated to 'The Princess and Toxicant'.,WITCHCRAFT OF MIAO PEOPLE,Poster clearly shows title 'WITCHCRAFT OF MIAO PEOPLE' which does not match 'The Princess and Toxicant' or '蛇山蠱女'.,47,0.0,tt0201197,/lGlYpE4BX691WjjvoKCSFtspKg7.jpg
192573,Zapatlela,झपाटलेला,1993,Khilona Bana Khalnayak,The poster clearly shows a different title and imagery unrelated to 'Zapatlela'.,Khilona Bana Khalnayak,Poster clearly shows title 'Khilona Bana Khalnayak' which does not match catalog film 'Zapatlela'.,171,0.0,tt0233979,/r7lWqWPUXJ3gqjNQubgaOCSI0tR.jpg
200377,The Evolution of Snuff,The Evolution of Snuff,1978,Confession of a Blue Movie Star,"The poster clearly shows a different title, 'Confession of a Blue Movie Star', which does not match 'The Evolution of Snuff'.",Confession of a Blue Movie Star,"Poster clearly shows title 'Confession of a Blue Movie Star' by Roman Polanski, which does not match 'The Evolution of Snuff' from 1978.",46,0.25,tt0215656,/8o6H3httwOtAWQPOIXHm9qUKKbd.jpg
200672,Torro. Torro. Torro!,Torro. Torro. Torro!,1981,Sam Raimi's Short Films,"The poster clearly advertises 'Sam Raimi's Short Films', not 'Torro. Torro. Torro!'.",SAM RAIMI'S SHORT FILMS,"Poster clearly shows 'SAM RAIMI'S SHORT FILMS' with Super-8 shorts compilation, not 'Torro. Torro. Torro!' from 1981.",185,0.0,tt0835059,/3sCzrtgWaimNKVXk9FHRPx0Q2I4.jpg
200803,Altered Species,Altered Species,2001,Rodentz,"The poster clearly shows the title 'Rodentz', which does not match the catalog film 'Altered Species'.",RODENTZ,Poster clearly displays title 'RODENTZ' which does not match catalog entry 'Altered Species'.,26,0.0,tt0292429,/1ki6TnBxlKG81ZbaXvaxEa7BXcK.jpg
204611,The McPherson Tape,The McPherson Tape,1989,UFO Abduction,"The poster clearly shows the title 'UFO Abduction', which does not match 'The McPherson Tape'.",UFO ABDUCTION,"Poster clearly shows title 'UFO ABDUCTION' not 'The McPherson Tape', though these may be alternate titles for the same 1989 film.",78,0.0,tt0169005,/Ap6zknBoIHaioieVfOLd5qaWd4X.jpg
208703,Rufus,Rufus,2013,HUNTED,"The poster clearly shows the title 'HUNTED', which does not match the catalog film 'Rufus'.",HUNTED,"Poster clearly shows title 'HUNTED' with vampire fangs imagery, not 'Rufus' from 2013.",118,0.0,tt2256811,/aL7Lqv1iyZ6HAulWDjJvhwJNeIA.jpg
210587,Yellow,Yellow,2013,City of Lust,"The poster clearly shows the title 'City of Lust', which does not match the catalog film 'Yellow'.",City of Lust,Poster clearly shows title 'CITY OF LUST' which does not match catalog entry 'Yellow' from 2013.,96,0.0,tt2563156,/3olg9GQuC7xtym6H1gEVHznm8ee.jpg
210734,Battlefield Death Tales,Battlefield Death Tales,2012,Angry Nazi Zombies,"The poster clearly shows the title 'Angry Nazi Zombies', which does not match the catalog film 'Battlefield Death Tales'.",Angry Nazi Zombies,Poster clearly displays title 'Angry Nazi Zombies' which does not match catalog entry 'Battlefield Death Tales'.,41,0.0,tt2218924,/z453yQUIEXI5mG695ZfeEMkDZnx.jpg
213811,The Crate,The Crate,,Decrepit Crypt of Nightmares,"The poster clearly shows a different title, 'Decrepit Crypt of Nightmares', which does not match 'The Crate'.",Decrepit Crypt of Nightmares,Poster clearly shows title 'Decrepit Crypt of Nightmares' which does not match catalog entry 'The Crate'.,138,0.0,,
214680,Convergence,Convergence,2000,Premonition,"The poster clearly displays the title 'Premonition', which does not match the catalog film 'Convergence'.",PREMONITION,"Poster clearly displays title 'PREMONITION' with cast names Christopher Lloyd, Cynthia Preston, and Adrian Paul, which does not match catalog entry 'Convergence'.",103,0.0,tt0144146,/b15UobERIODyWwjuIGVRKLBLBkO.jpg
215280,Billy Badd,Billy Badd,1992,MOTOR PSYCHO,"The poster clearly displays the title 'MOTOR PSYCHO', which does not match the catalog film 'Billy Badd'.",MOTOR PSYCHO,Poster clearly shows title 'MOTOR PSYCHO' which does not match catalog film 'Billy Badd'.,413,0.0,tt0220653,/zJwP5epnNOuna569g2fI9QZeeJ1.jpg
216139,Burned at the Stake,Burned at the Stake,1981,The Coming,"The poster clearly shows the title 'The Coming', which does not match 'Burned at the Stake'.",The Coming,"Poster clearly shows title 'The Coming' and credits for a different film, not 'Burned at the Stake'.",355,0.25,tt0082116,/qmMaHJxlcOG7ZByHbO3DPR2KUVD.jpg
217903,El virus del poder,El virus del poder,1988,Sindrome del Apocalipsis,"The poster clearly shows a different title, 'Sindrome del Apocalipsis', which does not match the catalog film 'El virus del poder'.",SINDROME DEL APOCALIPSIS,Poster clearly shows title 'SINDROME DEL APOCALIPSIS' which does not match catalog film 'El virus del poder'.,185,0.25,tt0380050,/piCRFtp2MdmL1UgCCkVM6I6AEK1.jpg
219961,Sonata,Sonata,,Gritos de Horror,"The poster clearly shows the title 'Gritos de Horror', which does not match the catalog film 'Sonata'.",GRITOS de HORROR,Poster clearly displays title 'GRITOS de HORROR' which does not match catalog film 'Sonata'.,56,0.0,,/A1C6UkDJudXNeTRjB33J9iJASQg.jpg
222861,Terminal Virus,Terminal Virus,,Generazionzero,"The title on the poster is 'Generazionzero', which does not match 'Terminal Virus'.",Generazione Zero,Poster clearly shows title 'Generazione Zero' which does not match catalog entry 'Terminal Virus'.,171,0.0,,
223281,The Unspeakable,The Unspeakable,1996,Shadow of a Scream,"The poster clearly shows the title 'Shadow of a Scream', which does not match 'The Unspeakable'.",Shadow of a Scream,Poster clearly shows title 'Shadow of a Scream' which does not match catalog entry 'The Unspeakable'.,121,0.0,tt0118051,/ApCMWR2jg45lZTGMjN2JIpIwePj.jpg
223344,Maxie,Maxie,1973,The Butchers,"Poster clearly shows 'The Butchers' title, not 'Maxie'.",The Butchers,"Poster clearly shows title 'The Butchers' with director Paul Michael Miekle and cast names, not 'Maxie' from 1973.",203,0.0,tt0095679,/b8oVCFTxDwF2m5CQwgqzdpppkIp.jpg
226023,The Men Who Fell,The Men Who Fell,2007,Planet des Schreckens,"The poster clearly shows a different title in German, 'Planet des Schreckens', which does not match 'The Men Who Fell'.",Planet des Schreckens: Die Rückkehr,Poster clearly shows German title 'Planet des Schreckens: Die Rückkehr' which does not match 'The Men Who Fell'.,105,0.25,tt0478208,/qUnmfvrrmn1BFcc7KkXyzwwRrHi.jpg
227433,Hong-Do Mirror,홍도경,1985,Dragon Against Vampire,"The poster clearly shows the title 'Dragon Against Vampire', which does not match the catalog film 'Hong-Do Mirror'.",Dragon Against Vampire,Poster clearly shows English title 'Dragon Against Vampire' which does not match the Korean film 'Hong-Do Mirror' (홍도경) from 1985.,22,0.0,tt0165244,/tFyHHxAMmwA76jTb9YRQoocFRmw.jpg
239973,Cold Blood Canyon,Cold Blood Canyon,2007,Paranormal Apparition,"The poster clearly displays the title 'Paranormal Apparition', which does not match the catalog film 'Cold Blood Canyon'.",PARANORMAL APPARITION,"Poster clearly shows title 'PARANORMAL APPARITION' with tagline, which does not match catalog entry 'Cold Blood Canyon'.",51,0.0,tt1073486,
244305,The Ice House,The Ice House,1969,The Passion Pit,"The poster clearly shows a different title, 'The Passion Pit', and does not match 'The Ice House'.",The Passion Pit,"Poster clearly shows title 'The Passion Pit' with cast names Sabrina, David and Robert Story, Scott Brady and Jim Davis, not 'The Ice House'.",197,0.3333,tt0064466,/tnaaNtJ6x9Es6nErSIoK9Y5izI2.jpg
250172,Martyris,Martyris,2010,Cerulía,"The title 'Cerulía' is clearly visible on the poster, which does not match the catalog film 'Martyris'.",CERULIA,Poster clearly displays title 'CERULIA' which does not match catalog film 'Martyris'.,652,0.0,tt1712189,
250788,Savage Encounter,Savage Encounter,1980,Demon Lust,"The poster clearly displays the title 'Demon Lust', which does not match the catalog film 'Savage Encounter'.",DEMON LUST,Poster clearly displays title 'DEMON LUST' which does not match catalog entry 'Savage Encounter'.,53,0.0,tt0301183,/fyHhjGJkTYCIIoRFM1v0YvuW50Q.jpg
251526,The Mutagen,The Mutagen,1988,GENES ASESINOS,The poster title 'GENES ASESINOS' does not match the catalog film title 'The Mutagen'.,GENES ASESINOS,"Poster clearly shows title 'GENES ASESINOS' (Killer Genes in Spanish), which does not match 'The Mutagen' despite similar sci-fi/horror theme.",86,0.0,tt0272200,/ezpSbTs0epele0tkVKSRkhS7mco.jpg
