id,title,original_title,year,source,file_path,stem,ocr_chars,n_lines,overlap_title,overlap_original,overlap_max,fuzzy_title,fuzzy_original,fuzzy_max,latency_s,error,ocr_preview
20321,Doctor Sleep,Doctor Sleep,2002,variant,posters_multi/20321/eBRcmhQakzeYPU6AWLP1DtAoLtC.jpg,eBRcmhQakzeYPU6AWLP1DtAoLtC,31,5,0.0,0.0,0.0,0.2286,0.2286,0.2286,0.831,,In As | CR2 | CLOSE YOUR EYES | JOI | V
20321,Doctor Sleep,Doctor Sleep,2002,variant,posters_multi/20321/mUp3SkA4U9biBUx95XkF4RI0jpk.jpg,mUp3SkA4U9biBUx95XkF4RI0jpk,19,2,0.0,0.0,0.0,0.1481,0.1481,0.1481,0.587,,"250X PR,2 | HYPNOTICA"
26208,Credo,Credo,2008,primary,posters/26208.jpg,26208.jpg,30,6,0.0,0.0,0.0,0.2105,0.2105,0.2105,0.877,,THE | DEVIL'S CURSE | النفسة | - | - | -
26208,Credo,Credo,2008,variant,posters_multi/26208/uyBYb0e9cBQv4uJVIAIqYjIJ2qM.jpg,uyBYb0e9cBQv4uJVIAIqYjIJ2qM,83,11,0.0,0.0,0.0,0.1096,0.1096,0.1096,0.646,,COLIN | MYANNA | CLAYTON | SALMON | BURING | WATSON | THE | DEVIL'S CURSE | MALIA | - | DARE TO BELIEVE
26208,Credo,Credo,2008,variant,posters_multi/26208/zujrGZqzrXe8DVCZyig07O03Edz.jpg,zujrGZqzrXe8DVCZyig07O03Edz,30,6,0.0,0.0,0.0,0.2105,0.2105,0.2105,0.868,,THE | DEVIL'S CURSE | النفسة | - | - | -
28930,Live Evil,Live Evil,2009,primary,posters/28930.jpg,28930.jpg,617,23,0.0,0.0,0.0,0.0117,0.0117,0.0117,2.161,,SAMURAI PRIEST | M | COMICS | DAMPIRE HUNTER | HT COMICS | $0al(60 85.00 | EC 18 | DEATH WAS FINALLY | COMING FOR THE UNDEAD! | ADD | STOPPING | HEART | FINAL | ISSUE! | MT ENTERTA
28930,Live Evil,Live Evil,2009,variant,posters_multi/28930/760Y7oQvtGokFyo8cXpigGMa3J1.jpg,760Y7oQvtGokFyo8cXpigGMa3J1,507,14,1.0,1.0,1.0,0.024,0.024,0.024,1.189,,LIFE CAN BE MORE EVIL THAN DEATH | LEM ENTERPRISES | PRISCESS | SIN TROWERSON VIIL ME NEST OSA KII LANDER | - WARE TERRY PRODUCTION DE JA WOELFEL FLY | LIVE EXIT | CENTON IVA DERRE
28930,Live Evil,Live Evil,2009,variant,posters_multi/28930/fZCS2BHwPhzeTDQKnflUzHPIcHv.jpg,fZCS2BHwPhzeTDQKnflUzHPIcHv,617,23,0.0,0.0,0.0,0.0117,0.0117,0.0117,1.845,,SAMURAI PRIEST | M | COMICS | DAMPIRE HUNTER | HT COMICS | $0al(60 85.00 | EC 18 | DEATH WAS FINALLY | COMING FOR THE UNDEAD! | ADD | STOPPING | HEART | FINAL | ISSUE! | MT ENTERTA
29214,Echoes,Echoes,1982,primary,posters/29214.jpg,29214.jpg,107,7,0.0,0.0,0.0,0.1099,0.1099,0.1099,1.012,,"""IT ALL BEGAN WITH | A NIGHTMARE, TOO | TERRIFYING TO IGNORE~ | IMPOSSIBLE TO FORGET."" | Regen '88 | Nightmare | LIVING"
29214,Echoes,Echoes,1982,variant,posters_multi/29214/kTAqXw80XokVrYHehoW01zt2HP3.jpg,kTAqXw80XokVrYHehoW01zt2HP3,107,7,0.0,0.0,0.0,0.1099,0.1099,0.1099,0.903,,"""IT ALL BEGAN WITH | A NIGHTMARE, TOO | TERRIFYING TO IGNORE~ | IMPOSSIBLE TO FORGET."" | Regen '88 | Nightmare | LIVING"
29214,Echoes,Echoes,1982,variant,posters_multi/29214/mjM0EpHEgXVwGnd5fhBXpTkxOzU.jpg,mjM0EpHEgXVwGnd5fhBXpTkxOzU,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.454,,ECHOES
29214,Echoes,Echoes,1982,variant,posters_multi/29214/x7ksDA8Z5iQE4I2g3DLIBfUyu7h.jpg,x7ksDA8Z5iQE4I2g3DLIBfUyu7h,277,12,1.0,1.0,1.0,0.0,0.0,0.0,1.179,,THE ENTITY . THE OMEN | NOW | ECHOES | ECHOES | A beautiful descent into the hell of dreams! | Richard Alfieri & Nathalie Nell | ALSO STARRING | DIRECTED BY Arthur А. Seidelman | M
29899,Claustrophobia,Claustrophobia,,primary,posters/29899.jpg,29899.jpg,83,4,0.0,0.0,0.0,0.1687,0.1687,0.1687,0.666,,MELANIE LYNSKEY SHEER! RAPPAPORT and MARYLYNN RAJSKUB | SERIAL | SLAYER | THE HUNT IS ON.
29899,Claustrophobia,Claustrophobia,,variant,posters_multi/29899/3vUeGjpPrEbllgm1EK68Y5hJNf4.jpg,3vUeGjpPrEbllgm1EK68Y5hJNf4,83,4,0.0,0.0,0.0,0.1707,0.1707,0.1707,0.556,,MELANIE LYNSKEY SHEER! RAPPAPORT an! MARYLYNN RAJSKUB | SERIAL | SLAYER | THE HUNT IS ON.
29899,Claustrophobia,Claustrophobia,,variant,posters_multi/29899/gNyLGFOTMvRwbGkrLuFiLAAfHhD.jpg,gNyLGFOTMvRwbGkrLuFiLAAfHhD,83,4,0.0,0.0,0.0,0.1687,0.1687,0.1687,1.212,,MELANIE LYNSKEY SHEER! RAPPAPORT and MARYLYNN RAJSKUB | SERIAL | SLAYER | THE HUNT IS OH.
30030,Eyes Are Upon You,Eyes Are Upon You,1997,primary,posters/30030.jpg,30030.jpg,41,5,0.0,0.0,0.0,0.2917,0.2917,0.2917,0.697,,Brinke Stevens Tom Savini | DEMON | BUS | DVD | A
30030,Eyes Are Upon You,Eyes Are Upon You,1997,variant,posters_multi/30030/4nsQ3qGeP6xCllI2RDQBPstdtdP.jpg,4nsQ3qGeP6xCllI2RDQBPstdtdP,39,4,0.0,0.0,0.0,0.2979,0.2979,0.2979,0.874,,Brinke Stevens Tom Savini | DEMON | LUS | DVD
30380,Wolfsbayne,Wolfsbayne,2005,primary,posters/30380.jpg,30380.jpg,95,4,0.0,0.0,0.0,0.1395,0.1395,0.1395,0.816,,"ACONITE | Featuring: REGGIE BANNISTER, GUNNAR | HANSEN, JIM O'REAR, DEBBIE ROCHON, | & LINNEA QUIGLEY"
35949,Jennifer's Shadow,Jennifer's Shadow,2004,primary,posters/35949.jpg,35949.jpg,83,5,0.0,0.0,0.0,0.1928,0.1928,0.1928,0.809,,GINA PHILIPS and FAYE DUNAWAY | RAVEN | CHRONICLE YOU PEACE. OF THE | MAY FINALLY | REST IN
35949,Jennifer's Shadow,Jennifer's Shadow,2004,variant,posters_multi/35949/emw0TaUE0jyaSuZQw2u0A3L4RMw.jpg,emw0TaUE0jyaSuZQw2u0A3L4RMw,83,4,0.0,0.0,0.0,0.1928,0.1928,0.1928,0.862,,GINA PHILIPS and FAYE DUNAWAY | RAVEN REST | CHRONICLE MAY YOU FINALLY IN PEACE. THE | OF
36965,Infection,Infection,2005,primary,posters/36965.jpg,36965.jpg,29,2,0.0,0.0,0.0,0.3226,0.3226,0.3226,0.76,,Invasion | Not of this earth...
36965,Infection,Infection,2005,variant,posters_multi/36965/6iX2M7APQTXtptwkZ193QOsYfaX.jpg,6iX2M7APQTXtptwkZ193QOsYfaX,29,2,0.0,0.0,0.0,0.3226,0.3226,0.3226,1.329,,Invasion | Not of this earth...
36965,Infection,Infection,2005,variant,posters_multi/36965/6mEmhon5P1UfKOHGn07z8zlbeK1.jpg,6mEmhon5P1UfKOHGn07z8zlbeK1,29,2,0.0,0.0,0.0,0.3226,0.3226,0.3226,0.74,,Invasion | Not of this earth...
36965,Infection,Infection,2005,variant,posters_multi/36965/nZwQvVEySo7rGI0JR06penAVmr1.jpg,nZwQvVEySo7rGI0JR06penAVmr1,126,10,1.0,1.0,1.0,0.1667,0.1667,0.1667,0.693,,"Pronto los humanos | dejaréis de ser humanos. | DEL DIRECTOR | DE CYBORG Y NÉMESIS, | ALBERT PYUN | AL | IEN | INVASIÓN | (INFECTION) | AMAZING!"
36965,Infection,Infection,2005,variant,posters_multi/36965/vC8BHTBVpCTDfkraxxydRnZvH1X.jpg,vC8BHTBVpCTDfkraxxydRnZvH1X,29,2,0.0,0.0,0.0,0.3226,0.3226,0.3226,0.841,,Invasion | Not of this earth...
36965,Infection,Infection,2005,variant,posters_multi/36965/zLoAaUcg07sWFK1e4qtgGvqvHr3.jpg,zLoAaUcg07sWFK1e4qtgGvqvHr3,8,1,0.0,0.0,0.0,0.5882,0.5882,0.5882,0.751,,Invasion
37687,3 A.M.,3 A.M.,2008,primary,posters/37687.jpg,37687.jpg,125,9,0.0,0.0,0.0,0.0377,0.0377,0.0377,0.784,,PARANORMAL | ASCENDANCY | WAKE UA... ITS TIME TO DIE | GREG NIECESTRO | CASSIE PRENA | AYAL STERN | INSPIRED BY TERRIFYING | TRUE EVENTS | 18
37687,3 A.M.,3 A.M.,2008,variant,posters_multi/37687/5xrbnulJKpxtD2pCN1cdN0TXrMn.jpg,5xrbnulJKpxtD2pCN1cdN0TXrMn,125,9,0.0,0.0,0.0,0.0377,0.0377,0.0377,0.883,,PARANORMAL | ASCENDANCY | WAKE UR... ITS TIME TO DIE | GREG NIECESTRO | CASSIE PRENA | AYAL STERN | INSPIRED BY TERRIFYING | TRUE EVENTS | 18
40338,Naked Massacre,Die Hinrichtung,1976,primary,posters/40338.jpg,40338.jpg,21,4,0.0,0.0,0.0,0.2581,0.1875,0.2581,0.849,,BORN | FOR | HELL | SEVERIN
40338,Naked Massacre,Die Hinrichtung,1976,variant,posters_multi/40338/eXE7aKB0EokJlrt4sm0MhT86htQ.jpg,eXE7aKB0EokJlrt4sm0MhT86htQ,194,8,1.0,0.0,1.0,0.1486,0.1136,0.1486,1.268,,"FOR THESE NINE YOUNG WOMEN, OPENING THE DOOR | THAT NIGHT MEANT ENDING THEIR LIVES! | NAKED MASSACRE | A TERRIFYING | SHOCKER OF | UNFORGIVING EVIL AND | TASTELESS TORTURE | BASED "
40338,Naked Massacre,Die Hinrichtung,1976,variant,posters_multi/40338/hvvrFwDABKfVFNrOZBGOk2cQcQ1.jpg,hvvrFwDABKfVFNrOZBGOk2cQcQ1,13,3,0.0,0.0,0.0,0.1667,0.08,0.1667,1.026,,BORN | FOR | HELL
40338,Naked Massacre,Die Hinrichtung,1976,variant,posters_multi/40338/i1ElgF6v5avfslWm45s3JjzZbPS.jpg,i1ElgF6v5avfslWm45s3JjzZbPS,194,8,1.0,0.0,1.0,0.1486,0.1136,0.1486,0.924,,"FOR THESE NINE YOUNG WOMEN, OPENING THE DOOR | THAT NIGHT MEANT ENDING THEIR LIVES! | NAKED MASSACRE | A TERRIFYING | SHOCKER OF | UNFORGIVING EVIL AND | TASTELESS TORTURE | BASED "
40338,Naked Massacre,Die Hinrichtung,1976,variant,posters_multi/40338/ok7WHby5ATCRjil9amoiblWZMNA.jpg,ok7WHby5ATCRjil9amoiblWZMNA,21,4,0.0,0.0,0.0,0.2581,0.1875,0.2581,0.594,,BORN | FOR | HELL | SEVERIN
40338,Naked Massacre,Die Hinrichtung,1976,variant,posters_multi/40338/pDjnmgEXxzeiQiGGxT7oA0gEHtx.jpg,pDjnmgEXxzeiQiGGxT7oA0gEHtx,313,15,0.0,0.0,0.0,0.015,0.0075,0.015,1.067,,Don't ever let him enter your house! | No woman can escape | from him | because he was | BORN | FOR HELL | A diabolic | shocker | that will | grip you | and hold you | SPELLBOUND! 
40338,Naked Massacre,Die Hinrichtung,1976,variant,posters_multi/40338/xEB7kJI7Fh9lNRhROpN9mNxrw2K.jpg,xEB7kJI7Fh9lNRhROpN9mNxrw2K,211,10,0.0,0.0,0.0,0.1215,0.1099,0.1215,1.047,,The Crime That Became Headlines... | 8 NURSES KILLED! | A Night of Suspense and Terror! | FRANCE AND SWEDEN | BANNED IN | BORN FOR HELL | IN EASTMAN COLOR | A SEABERG FILM DISTRIBU
45511,Teacher's Pet,Teacher's Pet,2000,primary,posters/45511.jpg,45511.jpg,20,4,0.0,0.0,0.0,0.2963,0.2963,0.2963,0.972,,DEVIL | IN THE | FLESH | 2
45511,Teacher's Pet,Teacher's Pet,2000,variant,posters_multi/45511/6tP0SNBPUWEFd4dz77p4JH2S574.jpg,6tP0SNBPUWEFd4dz77p4JH2S574,20,4,0.0,0.0,0.0,0.2963,0.2963,0.2963,0.781,,DEVIL | IN THE | FLESH | 2
45511,Teacher's Pet,Teacher's Pet,2000,variant,posters_multi/45511/9NCZNJFEq8FuoXOx9R0yXT7s1XP.jpg,9NCZNJFEq8FuoXOx9R0yXT7s1XP,20,4,0.0,0.0,0.0,0.2963,0.2963,0.2963,1.179,,DEVIL | IN THE | FLESH | 2
45511,Teacher's Pet,Teacher's Pet,2000,variant,posters_multi/45511/rQp1gPdjPoUPTWZmnrrXpVZkt0G.jpg,rQp1gPdjPoUPTWZmnrrXpVZkt0G,13,2,1.0,1.0,1.0,1.0,1.0,1.0,1.002,,Teacher's | PeT
47431,To Make a Killing,To Make a Killing,1988,primary,posters/47431.jpg,47431.jpg,592,14,0.0,0.0,0.0,0.0,0.0,0.0,1.32,,"H you're | looking for thrills | be careful, | you might find them. | Vicious LIMITED | PREMIERE FILM MARKETING | WITH MEDUSA COMMUNICATIONS LIMITED PRESENTS | 4 DAVID HANNAY PRODU"
47431,To Make a Killing,To Make a Killing,1988,variant,posters_multi/47431/1qQ3tiBTDTLSMzEk0X6NVfdacoL.jpg,1qQ3tiBTDTLSMzEk0X6NVfdacoL,192,14,1.0,1.0,1.0,0.1257,0.1257,0.1257,1.032,,"A NIGHT OF CHEAP THRILLS & DEADLY SURPRISES. | TAMBLYN LORD | CRAIG PEARCE | Killing | KELLY DINGWALL | TO MAKE | R | 18+ | Very frequent | violence, assaultive | UMBRELLA | RESTRI"
47431,To Make a Killing,To Make a Killing,1988,variant,posters_multi/47431/3V9jxF3ZHE3KLSyU6QytBo4NPaE.jpg,3V9jxF3ZHE3KLSyU6QytBo4NPaE,592,14,0.0,0.0,0.0,0.0,0.0,0.0,1.294,,"H you're | looking for thrills | be careful, | you might find them. | Vicious LIMITED | PREMIERE FILM MARKETING | WITH MEDUSA COMMUNICATIONS LIMITED PRESENTS | 4 DAVID HANNAY PRODU"
47431,To Make a Killing,To Make a Killing,1988,variant,posters_multi/47431/8d86V178Rt2jKz9iirslBinnUL7.jpg,8d86V178Rt2jKz9iirslBinnUL7,17,3,0.6667,0.6667,0.6667,0.5,0.5,0.5,1.006,,Kolling TO | MAKE | A
47431,To Make a Killing,To Make a Killing,1988,variant,posters_multi/47431/o3SPVBBveLB6MgDLwUzEFR8r9T.jpg,o3SPVBBveLB6MgDLwUzEFR8r9T,266,9,0.0,0.0,0.0,0.0,0.0,0.0,1.177,,"If you're | looking for thrills | be careful, | you might find them. | Vicious PREMIERE FILM LIMITED | MARKETING | IN ASSOCIATION WITH MEDUSA COMMUNICATIONS LIMITED PRESENTS | A DA"
48808,Closet Space,Closet Space,2008,primary,posters/48808.jpg,48808.jpg,154,10,0.0,0.0,0.0,0.1346,0.1346,0.1346,0.998,,BETWEEN | TWO WORLDS | Nah times | H.P.LOVECRAFT | and | I | - - DRIVE - 18-NC | TO me - NEW NE - W - 10 | - - RU - adidas in - CAR KYBA | - - der Auto E - ... DOB com - WE
48808,Closet Space,Closet Space,2008,variant,posters_multi/48808/1iXF33dWixSj6Q0hRIN1NYaFnvi.jpg,1iXF33dWixSj6Q0hRIN1NYaFnvi,152,10,0.0,0.0,0.0,0.1386,0.1386,0.1386,1.019,,BETWEEN | TWO WORLDS | H.P. LOVECRAFT | Nash timer | - | I | - - NEVER 14 INE | LA - unity - POR - - KYBE | TO - me KB E - BEEF - - 10 | - - der Apr E - ... BOW - WITH WE
50604,Dark Woods,Dark Woods,2010,primary,posters/50604.jpg,50604.jpg,294,10,0.0,0.0,0.0,0.0167,0.0167,0.0167,1.246,,"FORBIDDEN | ATTRACTION | RESCUING ALICIA WAS THEIR FIRST MISTAKE! | NEW I NEEDS ATTRACTION TRACY JEL MISCARNERO LABY EATE ALB UZ JRES RISSO | T BOYON = AUGET J ИНГИЗ ""Il PEACE NIST"
50604,Dark Woods,Dark Woods,2010,variant,posters_multi/50604/5KjHJKWsfwssN1YCPo7u4Tl4l2x.jpg,5KjHJKWsfwssN1YCPo7u4Tl4l2x,307,10,0.0,0.0,0.0,0.0076,0.0076,0.0076,1.052,,FORBIDDEN | ATTRACTION | RESCUING ALICIA WAS THEIR FIRST MISTAKE! | NEM DE PLOME FLUS ATTRACTION TRACK COISAR JOEN MISDANGRO WARY KATE ILB U2 JAMES RUSSO | T BOYON J WHITEMER TIT P
51176,Hellborn,Hellborn,2003,primary,posters/51176.jpg,51176.jpg,106,4,0.0,0.0,0.0,0.1263,0.1263,0.1263,0.675,,"FROM THE SPECIAL EFFECTS CREATORS OF ""JEEPERS CREEPERS"" | ASYLUM of the DAMNED | Everyone pays | for their cins."
51176,Hellborn,Hellborn,2003,variant,posters_multi/51176/j67a01b7pSRKD5JMDBzqUYaOLj2.jpg,j67a01b7pSRKD5JMDBzqUYaOLj2,8,2,0.0,0.0,0.0,0.9333,0.9333,0.9333,0.412,,HELLB | RN
51176,Hellborn,Hellborn,2003,variant,posters_multi/51176/qYWqTmqWEBdIsGFcWU2k73Rj0MX.jpg,qYWqTmqWEBdIsGFcWU2k73Rj0MX,76,4,0.0,0.0,0.0,0.169,0.169,0.169,0.487,,"FROM THE SPECIAL EFFECTS CREATORS OF ""JEEPERS CREEPERS"" | Asylum of | the | DAMNED"
51176,Hellborn,Hellborn,2003,variant,posters_multi/51176/r0KUoGBEO0sWxTr9hhLf78tXtDg.jpg,r0KUoGBEO0sWxTr9hhLf78tXtDg,576,15,1.0,1.0,1.0,0.0,0.0,0.0,1.555,,BRUCE PAYNE | TRACY SCROGGINS JULIA LEE | HELLB | RN | Everyone pays for their sins. | BRUCE PAYNE TRACY SCOGGINS JULIA LEE GREGORY WAGROWSKI RANDALI ENGLAND BILL McKINNEY and TOMM
51176,Hellborn,Hellborn,2003,variant,posters_multi/51176/u5VdDoyXLuMSA193Jalh03FfrD3.jpg,u5VdDoyXLuMSA193Jalh03FfrD3,106,4,0.0,0.0,0.0,0.1263,0.1263,0.1263,0.727,,"FROM THE SPECIAL EFFECTS CREATORS OF ""JEEPERS CREEPERS"" | ASYLUM of the DAMNED | Everyone pays | for their cins."
56383,"Lisa, Lisa","Lisa, Lisa",1974,primary,posters/56383.jpg,56383.jpg,22,3,0.0,0.0,0.0,0.3571,0.3571,0.3571,0.589,,CALIFORNIA | XE | MASSACRE
56383,"Lisa, Lisa","Lisa, Lisa",1974,variant,posters_multi/56383/1j7yOD5A6rvBthWHgwwZNniS8AW.jpg,1j7yOD5A6rvBthWHgwwZNniS8AW,26,5,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.803,,CALIFORNIA | XE | X | A | MASSACRE
56383,"Lisa, Lisa","Lisa, Lisa",1974,variant,posters_multi/56383/2eXHfCuzBlUvceOQHD8gXzWW7XZ.jpg,2eXHfCuzBlUvceOQHD8gXzWW7XZ,28,4,0.0,0.0,0.0,0.2963,0.2963,0.2963,0.536,,A x | AT LAST... | TOTAL | TERROR!
56383,"Lisa, Lisa","Lisa, Lisa",1974,variant,posters_multi/56383/cajXHMaotEMAKLz8HpRsPXx8yCr.jpg,cajXHMaotEMAKLz8HpRsPXx8yCr,387,13,1.0,1.0,1.0,0.0,0.0,0.0,1.234,,HARRY NOVAK presents | AT LAST... | TOTAL | TERROR! | RAY GREEN . FREDERICK R FRIEDEL | Rasing JACK CANON | FRANK JONES . CAROL MILLER - MART SMITH . GEORGE J. MONACHAN . SCOTT SMI
56383,"Lisa, Lisa","Lisa, Lisa",1974,variant,posters_multi/56383/fj2PR0EnAakr9F0VhUe2uwESmII.jpg,fj2PR0EnAakr9F0VhUe2uwESmII,26,5,0.0,0.0,0.0,0.3333,0.3333,0.3333,1.096,,CALIFORNIA | XE | R | A | MASSACRE
56383,"Lisa, Lisa","Lisa, Lisa",1974,variant,posters_multi/56383/rV6Irmd9RD0HZXhD7H8ucZceo3V.jpg,rV6Irmd9RD0HZXhD7H8ucZceo3V,486,40,1.0,1.0,1.0,0.0,0.0,0.0,1.469,,"Horror Since | Best | ""Night of | The | Living | Dead"" | South | Diane | DRIVE-IN | 29 | The linest | and the targra. | NON | Adults | $2.00 | Made | Kids | IN AND AROUND | CHARLOT"
56673,Unborn Sins,Unborn Sins,2007,primary,posters/56673.jpg,56673.jpg,143,10,0.0,0.0,0.0,0.1417,0.1417,0.1417,0.976,,PENDULUM PICTURES | 50 | PRESENTS | MOVIES | TERRORS OF | TOMB | M | Marka | tv POLICE Advert | 50-Movie DVD Collection...Hours of Spine-Chiling Tales on 12 DVDs
58796,Canes,Canes,2006,primary,posters/58796.jpg,58796.jpg,32,3,0.0,0.0,0.0,0.2424,0.2424,0.2424,0.936,,THE | COVENANT | BROTHERHOOD OF EVIL
58796,Canes,Canes,2006,variant,posters_multi/58796/5xCEKaeX0TBNDmXqFlJHA1kKYPG.jpg,5xCEKaeX0TBNDmXqFlJHA1kKYPG,442,15,0.0,0.0,0.0,0.0,0.0,0.0,1.201,,EDWARD | MICHAEL | FURLONG | MADSEN | (AMERICAN HISTORY XI | (SIN CITY KILL BILL) | THE | COVENANT | YOU'D WISH YOU WERE DEAD... | AUTOMATION FRAMWORKS FRES FEEM GROUP K - NCSE FLU
58796,Canes,Canes,2006,variant,posters_multi/58796/7lsUOQzB8DzCUFRG9uibGJ7Hj2y.jpg,7lsUOQzB8DzCUFRG9uibGJ7Hj2y,41,3,0.0,0.0,0.0,0.2286,0.2286,0.2286,0.656,,THE | CO VENANT | YOU'D WISH YOU WERE DEAD...
58796,Canes,Canes,2006,variant,posters_multi/58796/9tq55sjFuJ2NNt0IPrigFKSJ0u6.jpg,9tq55sjFuJ2NNt0IPrigFKSJ0u6,32,3,0.0,0.0,0.0,0.2424,0.2424,0.2424,0.657,,THE | COVENANT | BROTHERHOOD OF EVIL
58796,Canes,Canes,2006,variant,posters_multi/58796/tXLja1NrO5XP02UlDzer9sYGZSs.jpg,tXLja1NrO5XP02UlDzer9sYGZSs,122,12,0.0,0.0,0.0,0.0926,0.0926,0.0926,0.812,,THE | FURLONG | EDWARD | MADSEN | MICHAEL | CHANDRA | WEST | COVENANT | BROTHERHOOD OF EVIL | THERE ARE SOME | FATES THAT ARE | WORSE THAN DEATH
64623,Vendetta,Zai shi zhui hun,1993,primary,posters/64623.jpg,64623.jpg,36,2,0.0,0.0,0.0,0.2857,0.2,0.2857,0.768,,MORBIDIA | DER ТОП IST ERST DER ANFANG
64623,Vendetta,Zai shi zhui hun,1993,variant,posters_multi/64623/3kL2yacKNzPZ6IrxFI8dHJqu6lx.jpg,3kL2yacKNzPZ6IrxFI8dHJqu6lx,126,8,1.0,0.0,1.0,0.1481,0.1416,0.1481,0.758,,VENDETTA | #KT | TAI SENG | ISD South Spruss Aven Soite SIDE | Video Marketing Inc. | South San Francisco © ©4080 | Tels 415-N70-8113 | FREE
69117,Unseen Evil 2,Unseen Evil 2,2004,primary,posters/69117.jpg,69117.jpg,34,3,0.0,0.0,0.0,0.2051,0.2051,0.2051,0.692,,ALIEN 3000 | A NEW BREED | OF PREDATOR
69117,Unseen Evil 2,Unseen Evil 2,2004,variant,posters_multi/69117/p13XVpFphqj2Dc92ZRUeYdKBWAf.jpg,p13XVpFphqj2Dc92ZRUeYdKBWAf,34,3,0.0,0.0,0.0,0.2051,0.2051,0.2051,0.936,,ALIEN 3000 | A NEW BREED | OF PREDATOR
69142,The Wrath,The Wrath,2008,primary,posters/69142.jpg,69142.jpg,49,3,0.0,0.0,0.0,0.2553,0.2553,0.2553,0.733,,Born from a terrifying true tale... | BEAST | BENEATH
69142,The Wrath,The Wrath,2008,variant,posters_multi/69142/ciVxIxEBWr14uNl5nLbjKux8QSj.jpg,ciVxIxEBWr14uNl5nLbjKux8QSj,67,5,0.0,0.0,0.0,0.1538,0.1538,0.1538,0.784,,EVIL HAS BEEN | AWAKENED | BEAST | BENEATH | BASED ONA TERRIFYING TRUE TALE
