id,title,year,decade,model,model_id,status,latency_s,title_guess,typography,typography_notes,mood,caption_essay,lite_risk,notes,raw_text,error
85051,Minnie the Moocher,1932,1930,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,3.085,Minnie the Moocher,block,"Bold, uniform sans-serif capitals with clean, geometric letterforms typical of 1930s silent film titling.",vintage|playful|nostalgic|theatrical|whimsical,"A Max Fleischer Talkartoon title card presents 'Minnie the Moocher' in stark Art Deco typography, featuring two cartoon characters in classic black-and-white animation style characteristic of early 1930s theatrical shorts.",ok,"This is a legitimate historical animation title card, not a horror movie. The request premise contains a false assumption.","```json
{
  ""title_guess"": ""Minnie the Moocher"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, uniform sans-serif capitals with clean, geometric letterforms typical of 1930s silent film titling."",
  ""mood"": [""vintage"", ""playful"", ""nostalgic"", ""theatrical"", ""whimsical""],
  ""caption_essay"": ""A Max Fleischer Talkartoon title card presents 'Minnie the Moocher' in stark Art Deco typography, featuring two cartoon characters in classic black-and-white animation style characteristic of early 1930s theatrical shorts."",
  ""lite_risk"": ""ok"",
  ""notes"": ""This is a legitimate historical animation title card, not a horror movie. The request premise contains a false assumption.""
}
```",
18498,Ghoulies,1985,1980,nova-pro,us.amazon.nova-pro-v1:0,ok,2.113,GHOULIES,block,"Large, bold, block letters with a red outline.",grotesque|eerie|uncanny|disgusting,A grotesque creature emerges from a toilet bowl.,ok,The title is clearly visible and unambiguous.,"{
  ""title_guess"": ""GHOULIES"",
  ""typography"": ""block"",
  ""typography_notes"": ""Large, bold, block letters with a red outline."",
  ""mood"": [""grotesque"", ""eerie"", ""uncanny"", ""disgusting""],
  ""caption_essay"": ""A grotesque creature emerges from a toilet bowl."",
  ""lite_risk"": ""ok"",
  ""notes"": ""The title is clearly visible and unambiguous.""
}",
18498,Ghoulies,1985,1980,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,3.131,GHOULIES,block,"Bold, rounded block letters with red fill and yellow-green outline creating a retro horror-comedy aesthetic.",campy|grotesque|darkly comedic|B-movie|creature-feature,"A monstrous creature emerges from a toilet in this deliberately absurd creature-feature poster, blending bathroom humor with practical monster design for maximum B-movie appeal.",ok,Classic 1980s horror-comedy poster with clear title and iconic imagery. No content concerns.,"```json
{
  ""title_guess"": ""GHOULIES"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, rounded block letters with red fill and yellow-green outline creating a retro horror-comedy aesthetic."",
  ""mood"": [""campy"", ""grotesque"", ""darkly comedic"", ""B-movie"", ""creature-feature""],
  ""caption_essay"": ""A monstrous creature emerges from a toilet in this deliberately absurd creature-feature poster, blending bathroom humor with practical monster design for maximum B-movie appeal."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Classic 1980s horror-comedy poster with clear title and iconic imagery. No content concerns.""
}
```",
752819,Blood Bath,1969,1960,nova-pro,us.amazon.nova-pro-v1:0,ok,1.647,Blood Bath,block,"Bold, distressed block letters evoke a horror theme.",dark|violent|gruesome|intense,"A dark, violent, and gruesome horror movie poster.",ok,Poster design effectively conveys a horror theme.,"{
  ""title_guess"": ""Blood Bath"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, distressed block letters evoke a horror theme."",
  ""mood"": [""dark"", ""violent"", ""gruesome"", ""intense""],
  ""caption_essay"": ""A dark, violent, and gruesome horror movie poster."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Poster design effectively conveys a horror theme.""
}",
752819,Blood Bath,1969,1960,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,2.399,BLOOD BATH,ornate,"Jagged, splattered letterforms with explosive texture mimicking blood spatter and visceral decay.",violent|grotesque|horror|visceral|intense,"Bold red lettering erupts across black void with arterial splatter effects, creating a visceral title treatment that embodies graphic horror through typography itself.",ok,Clear legibility despite ornate treatment; effective use of color and texture for genre positioning.,"```json
{
  ""title_guess"": ""BLOOD BATH"",
  ""typography"": ""ornate"",
  ""typography_notes"": ""Jagged, splattered letterforms with explosive texture mimicking blood spatter and visceral decay."",
  ""mood"": [""violent"", ""grotesque"", ""horror"", ""visceral"", ""intense""],
  ""caption_essay"": ""Bold red lettering erupts across black void with arterial splatter effects, creating a visceral title treatment that embodies graphic horror through typography itself."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Clear legibility despite ornate treatment; effective use of color and texture for genre positioning.""
}
```",
1724881,Ghost Written,9999,9990,nova-pro,us.amazon.nova-pro-v1:0,ok,2.205,Ghost Written,block,"Bold, block letters for dramatic effect.",eerie|mysterious|suspenseful|dark,"A minimalist horror movie poster with a dark, suspenseful atmosphere.",ok,Poster design effectively conveys the horror genre.,"{
  ""title_guess"": ""Ghost Written"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, block letters for dramatic effect."",
  ""mood"": [""eerie"", ""mysterious"", ""suspenseful"", ""dark""],
  ""caption_essay"": ""A minimalist horror movie poster with a dark, suspenseful atmosphere."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Poster design effectively conveys the horror genre.""
}",
94841,Cell Count,2012,2010,nova-pro,us.amazon.nova-pro-v1:0,ok,1.912,Cell Count,block,"Large, bold, red block letters for the title",tense|violent|chaotic|survival|desperation,A chaotic scene of survival and violence in a horror movie poster.,ok,"Poster depicts a violent, chaotic scene with characters in distress.","{
  ""title_guess"": ""Cell Count"",
  ""typography"": ""block"",
  ""typography_notes"": ""Large, bold, red block letters for the title"",
  ""mood"": [""tense"", ""violent"", ""chaotic"", ""survival"", ""desperation""],
  ""caption_essay"": ""A chaotic scene of survival and violence in a horror movie poster."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Poster depicts a violent, chaotic scene with characters in distress.""
}",
1724881,Ghost Written,9999,9990,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,3.748,Ghost Written,block,"Bold slab serif capitals in deep red on white cards arranged in an arc, creating stark geometric contrast.",ominous|minimalist|theatrical|unsettling|vintage,"Heather Lind stars in this festival-selected horror film where fragmented white cards spelling ""Ghost Written"" loom against a dark void, suggesting fragmented narrative and spectral presence.",ok,All text clearly legible. Credits visible in footer. Rhode Island International Film Festival laurel present. Director Dave Quay confirmed.,"```json
{
  ""title_guess"": ""Ghost Written"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold slab serif capitals in deep red on white cards arranged in an arc, creating stark geometric contrast."",
  ""mood"": [
    ""ominous"",
    ""minimalist"",
    ""theatrical"",
    ""unsettling"",
    ""vintage""
  ],
  ""caption_essay"": ""Heather Lind stars in this festival-selected horror film where fragmented white cards spelling \""Ghost Written\"" loom against a dark void, suggesting fragmented narrative and spectral presence."",
  ""lite_risk"": ""ok"",
  ""notes"": ""All text clearly legible. Credits visible in footer. Rhode Island International Film Festival laurel present. Director Dave Quay confirmed.""
}
```",
657625,Hampton Court Palace,1926,1920,nova-pro,us.amazon.nova-pro-v1:0,ok,1.859,,other,No text or title present in the image.,mysterious|vintage|somber|intriguing,Vintage black and white portrait of a woman with an intriguing expression.,ok,"Image lacks text, focusing on the subject's expression and attire.","{
  ""title_guess"": """",
  ""typography"": ""other"",
  ""typography_notes"": ""No text or title present in the image."",
  ""mood"": [""mysterious"", ""vintage"", ""somber"", ""intriguing""],
  ""caption_essay"": ""Vintage black and white portrait of a woman with an intriguing expression."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Image lacks text, focusing on the subject's expression and attire.""
}",
94841,Cell Count,2012,2010,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,3.159,CELL COUNT,block,"Bold, dripping red block letters with a visceral, melting quality that suggests biological horror.",body horror|scientific dread|vintage exploitation|medical terror|surreal,"A grotesque vintage horror poster merges medical imagery with cosmic body horror, featuring a massive pulsating organism looming over panicked figures in clinical settings, evoking 1970s creature-feature aesthetics.",ok,Poster text clearly legible; classic exploitation film design with practical creature effects aesthetic.,"```json
{
  ""title_guess"": ""CELL COUNT"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, dripping red block letters with a visceral, melting quality that suggests biological horror."",
  ""mood"": [""body horror"", ""scientific dread"", ""vintage exploitation"", ""medical terror"", ""surreal""],
  ""caption_essay"": ""A grotesque vintage horror poster merges medical imagery with cosmic body horror, featuring a massive pulsating organism looming over panicked figures in clinical settings, evoking 1970s creature-feature aesthetics."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Poster text clearly legible; classic exploitation film design with practical creature effects aesthetic.""
}
```",
18724,Attack of the 50 Foot Woman,1958,1950,nova-pro,us.amazon.nova-pro-v1:0,ok,1.615,Attack of the 50 Ft. Woman,block,"Large, bold, red block letters for the title",dramatic|retro|tense|surreal,Vintage horror poster with a giant woman attacking a city.,ok,The title is clearly visible and matches the image content.,"{
  ""title_guess"": ""Attack of the 50 Ft. Woman"",
  ""typography"": ""block"",
  ""typography_notes"": ""Large, bold, red block letters for the title"",
  ""mood"": [""dramatic"", ""retro"", ""tense"", ""surreal""],
  ""caption_essay"": ""Vintage horror poster with a giant woman attacking a city."",
  ""lite_risk"": ""ok"",
  ""notes"": ""The title is clearly visible and matches the image content.""
}",
657625,Hampton Court Palace,1926,1920,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,2.601,,other,No visible title text present in this black and white portrait photograph.,gothic|mysterious|period|ethereal|unsettling,"A haunting portrait of a woman with elaborate braided hair and period costume, her distant gaze suggesting psychological depth characteristic of early horror cinema aesthetics.",low_signal,Image is a portrait photograph rather than a movie poster; no typography or title elements to analyze. Appears to be promotional still from silent or early sound era film.,"```json
{
  ""title_guess"": """",
  ""typography"": ""other"",
  ""typography_notes"": ""No visible title text present in this black and white portrait photograph."",
  ""mood"": [""gothic"", ""mysterious"", ""period"", ""ethereal"", ""unsettling""],
  ""caption_essay"": ""A haunting portrait of a woman with elaborate braided hair and period costume, her distant gaze suggesting psychological depth characteristic of early horror cinema aesthetics."",
  ""lite_risk"": ""low_signal"",
  ""notes"": ""Image is a portrait photograph rather than a movie poster; no typography or title elements to analyze. Appears to be promotional still from silent or early sound era film.""
}
```",
85170,Memorial Valley Massacre,1988,1980,nova-pro,us.amazon.nova-pro-v1:0,ok,1.905,Memorial Valley Massacre,block,"Large, bold, red block letters for the title.",violent|tense|dramatic|survival|horror,A horror movie poster featuring a man with an axe and a fiery background.,ok,The title is clearly visible and the scene is action-packed.,"{
  ""title_guess"": ""Memorial Valley Massacre"",
  ""typography"": ""block"",
  ""typography_notes"": ""Large, bold, red block letters for the title."",
  ""mood"": [""violent"", ""tense"", ""dramatic"", ""survival"", ""horror""],
  ""caption_essay"": ""A horror movie poster featuring a man with an axe and a fiery background."",
  ""lite_risk"": ""ok"",
  ""notes"": ""The title is clearly visible and the scene is action-packed.""
}",
18724,Attack of the 50 Foot Woman,1958,1950,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,2.93,Attack of the 50 Ft. Woman,block,"Bold, all-caps sans-serif lettering in red and yellow with strong geometric presence.",campy|retro|sensational|pulp|sci-fi,"A 1950s B-movie poster exemplifying atomic-age sci-fi kitsch, featuring lurid typography and a giant woman looming over a miniaturized cityscape—quintessential exploitation cinema aesthetics.",ok,Classic 1958 cult film poster; typography and composition are historically accurate to the era.,"```json
{
  ""title_guess"": ""Attack of the 50 Ft. Woman"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, all-caps sans-serif lettering in red and yellow with strong geometric presence."",
  ""mood"": [""campy"", ""retro"", ""sensational"", ""pulp"", ""sci-fi""],
  ""caption_essay"": ""A 1950s B-movie poster exemplifying atomic-age sci-fi kitsch, featuring lurid typography and a giant woman looming over a miniaturized cityscape—quintessential exploitation cinema aesthetics."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Classic 1958 cult film poster; typography and composition are historically accurate to the era.""
}
```",
85170,Memorial Valley Massacre,1988,1980,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,3.069,Memorial Valley Massacre,script,"Pink/red script lettering with a dripping, horror-style aesthetic typical of 1980s slasher films.",violent|ominous|retro|apocalyptic|menacing,"Silhouetted figures stand armed atop a burning landscape while a wild-haired killer clutches an axe in the foreground, embodying classic 1980s slasher iconography with apocalyptic undertones.",ok,"Poster appears to be from a low-budget horror film, likely 1980s era. Image quality consistent with VHS-era promotional materials.","```json
{
  ""title_guess"": ""Memorial Valley Massacre"",
  ""typography"": ""script"",
  ""typography_notes"": ""Pink/red script lettering with a dripping, horror-style aesthetic typical of 1980s slasher films."",
  ""mood"": [""violent"", ""ominous"", ""retro"", ""apocalyptic"", ""menacing""],
  ""caption_essay"": ""Silhouetted figures stand armed atop a burning landscape while a wild-haired killer clutches an axe in the foreground, embodying classic 1980s slasher iconography with apocalyptic undertones."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Poster appears to be from a low-budget horror film, likely 1980s era. Image quality consistent with VHS-era promotional materials.""
}
```",
862054,The Doll's Revenge,1907,1900,nova-pro,us.amazon.nova-pro-v1:0,ok,1.598,The Doll's Revenge,block,"Simple, bold, uppercase letters.",dark|mysterious|sinister|gothic,"A minimalist, black-and-white horror movie poster.",ok,Poster is straightforward with clear title.,"{
  ""title_guess"": ""The Doll's Revenge"",
  ""typography"": ""block"",
  ""typography_notes"": ""Simple, bold, uppercase letters."",
  ""mood"": [""dark"", ""mysterious"", ""sinister"", ""gothic""],
  ""caption_essay"": ""A minimalist, black-and-white horror movie poster."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Poster is straightforward with clear title.""
}",
148644,Decay,2012,2010,nova-pro,us.amazon.nova-pro-v1:0,ok,1.517,Decay,block,"Bold, block letters for the title",dark|mysterious|tense|ominous,"A man holding a flashlight in a dark, ominous setting.",ok,Poster suggests a horror or thriller genre.,"{
  ""title_guess"": ""Decay"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, block letters for the title"",
  ""mood"": [""dark"", ""mysterious"", ""tense"", ""ominous""],
  ""caption_essay"": ""A man holding a flashlight in a dark, ominous setting."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Poster suggests a horror or thriller genre.""
}",
862054,The Doll's Revenge,1907,1900,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,3.199,THE DOLL'S REVENGE,block,"Bold, all-caps serif lettering with uniform weight and spacing, characteristic of early cinema title cards.",sinister|vintage|supernatural|ominous|eerie,"A stark, minimalist title card from early horror cinema announces 'The Doll's Revenge' in imposing block letters against pure black, evoking silent-era dread and inanimate object terror.",ok,"Appears to be authentic silent film or early sound era title card. High contrast, legible text. No obvious hallucination risks.","```json
{
  ""title_guess"": ""THE DOLL'S REVENGE"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, all-caps serif lettering with uniform weight and spacing, characteristic of early cinema title cards."",
  ""mood"": [""sinister"", ""vintage"", ""supernatural"", ""ominous"", ""eerie""],
  ""caption_essay"": ""A stark, minimalist title card from early horror cinema announces 'The Doll's Revenge' in imposing block letters against pure black, evoking silent-era dread and inanimate object terror."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Appears to be authentic silent film or early sound era title card. High contrast, legible text. No obvious hallucination risks.""
}
```",
148644,Decay,2012,2010,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,2.426,DECAY,mixed,"Bold block letters with radioactive symbol integrated into the 'Y', combining industrial and hazard aesthetics.",ominous|scientific dread|isolation|contamination|suspenseful,"A solitary figure stands illuminated in darkness, silhouetted against industrial machinery, suggesting nuclear horror and bodily decay. The radioactive symbol embedded in the title promises scientific terror.",ok,Clear poster hierarchy; tagline and social media handles visible; no obvious OCR risks.,"```json
{
  ""title_guess"": ""DECAY"",
  ""typography"": ""mixed"",
  ""typography_notes"": ""Bold block letters with radioactive symbol integrated into the 'Y', combining industrial and hazard aesthetics."",
  ""mood"": [""ominous"", ""scientific dread"", ""isolation"", ""contamination"", ""suspenseful""],
  ""caption_essay"": ""A solitary figure stands illuminated in darkness, silhouetted against industrial machinery, suggesting nuclear horror and bodily decay. The radioactive symbol embedded in the title promises scientific terror."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Clear poster hierarchy; tagline and social media handles visible; no obvious OCR risks.""
}
```",
40761,Revenge of the Creature,1955,1950,nova-pro,us.amazon.nova-pro-v1:0,ok,1.531,Revenge of the Creature,block,"Bold, uppercase letters dominate the title.",tense|mysterious|menacing|suspenseful,A monstrous creature emerges from the water near a boat.,ok,Poster accurately represents the horror genre.,"{
  ""title_guess"": ""Revenge of the Creature"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, uppercase letters dominate the title."",
  ""mood"": [""tense"", ""mysterious"", ""menacing"", ""suspenseful""],
  ""caption_essay"": ""A monstrous creature emerges from the water near a boat."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Poster accurately represents the horror genre.""
}",
162336,Hatchetman,2003,2000,nova-pro,us.amazon.nova-pro-v1:0,ok,1.768,Hatchetman,block,"Bold, capitalized letters for dramatic effect.",terrifying|mysterious|dark|sinister,A horror movie poster featuring a menacing figure and a distressed woman.,ok,Poster effectively conveys a sense of dread and suspense.,"{
  ""title_guess"": ""Hatchetman"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, capitalized letters for dramatic effect."",
  ""mood"": [""terrifying"", ""mysterious"", ""dark"", ""sinister""],
  ""caption_essay"": ""A horror movie poster featuring a menacing figure and a distressed woman."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Poster effectively conveys a sense of dread and suspense.""
}",
40761,Revenge of the Creature,1955,1950,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,2.752,REVENGE OF THE CREATURE,block,"Bold, all-caps sans-serif lettering with strong geometric presence and high contrast against the background.",creature feature|retro horror|aquatic terror|B-movie|campy,"A classic creature feature poster showcases a menacing gill-man emerging from murky waters near a damaged vessel, embodying mid-century monster movie aesthetics with practical makeup effects and pulp sensibilities.",ok,Appears to be promotional material for the 1955 Universal film; practical creature suit visible in close-up.,"```json
{
  ""title_guess"": ""REVENGE OF THE CREATURE"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, all-caps sans-serif lettering with strong geometric presence and high contrast against the background."",
  ""mood"": [""creature feature"", ""retro horror"", ""aquatic terror"", ""B-movie"", ""campy""],
  ""caption_essay"": ""A classic creature feature poster showcases a menacing gill-man emerging from murky waters near a damaged vessel, embodying mid-century monster movie aesthetics with practical makeup effects and pulp sensibilities."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Appears to be promotional material for the 1955 Universal film; practical creature suit visible in close-up.""
}
```",
