id,title,original_title,year,original_language,ocr_lang,ocr_chars,overlap_max,overlap_max_local,model,model_id,status,verdict,confidence,poster_title_guess,reason,latency_s,error
4238,The Erotic Mirror,The Erotic Mirror,2002,en,en,56,0.3333,0.3333,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,The Erotic Mirror,The poster clearly displays the title 'The Erotic Mirror' and features imagery consistent with the catalog entry.,1.551,
4365,Munchies,Munchies,1987,en,en,11,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,MUNCHIES,The poster displays the exact title 'MUNCHIES' and features iconic imagery consistent with the film's branding.,1.371,
4439,Goy,Goy,2007,en,en,78,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Goy,The poster displays the exact title 'Goy' and the tagline 'The Horror goes on...' which matches the catalog entry.,3.103,
4457,Witchery,La Casa 4,1988,en,en,8,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Witchery,"The poster displays the exact title 'Witchery' and features a haunted house, aligning with the film's theme and title.",3.207,
4494,Rapture,Arrebato,1980,es,en,283,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,ARREBATO,The poster displays the original title 'Arrebato' and matches the catalog entry for the 1980 Spanish film 'Rapture'.,1.289,
4883,And Then There Were None,And Then There Were None,,,en,18,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,TEN LITTLE INDIANS,"The poster features the iconic title 'TEN LITTLE INDIANS,' a well-known alternate title for 'And Then There Were None,' along with a classic suspenseful imagery.",2.825,
5161,Blood of the Undead: The Unwanted,Blood of the Undead: The Unwanted,1987,en,en,19,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,mismatch,0.9,SHEETS OF GORE,The poster features a stylized title 'SHEETS OF GORE' and horror-themed imagery that does not match the catalog film's title 'Blood of the Undead: The Unwanted'.,2.013,
5421,Monster Hunter,Rosso sangue,1981,it,en,208,0.0,0.0,nova-pro,us.amazon.nova-pro-v1:0,ok,mismatch,0.95,Absurd,"The poster clearly displays the title 'Absurd', which does not match the catalog film 'Monster Hunter'.",2.805,
5424,Anthropophagous,Antropophagus,1980,it,it,22,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,ANTHROPOPHAGOUS,The poster displays the exact title 'ANTHROPOPHAGOUS' and features iconic horror imagery consistent with the film.,1.398,
5719,Mudhoney!,Mudhoney!,,,en,8,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,MUDHONEY,"The poster prominently displays the title 'MUDHONEY' in large, stylized text, matching the catalog film title.",1.699,
5734,Biohazard,Biohazard,1985,en,tr,10,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.9,BIO HAZARD,The poster title matches the catalog film title exactly.,2.025,
5751,Sledgehammer,Sledgehammer,1983,en,fr,12,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,SLEDGEHAMMER,"The poster displays the exact title 'SLEDGEHAMMER' in bold, stylized lettering, matching the catalog entry.",1.198,
5842,Versus,ヴァーサス,2000,ja,fr,10,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.9,VERSUS,"The poster displays the title 'VERSUS' and features a silhouette holding weapons, aligning with the catalog entry for the 2000 Japanese film 'Versus'.",1.172,
5844,Alive,アライヴ,2003,ja,id,154,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,ALIVE,"The poster displays the exact title 'ALIVE' and credits the director Ryūhei Kitamura, matching the catalog entry.",2.099,
5846,Sky High,スカイハイ 劇場版,2003,ja,en,79,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,SKYHIGH,The poster displays the exact title 'SKYHIGH' and matches the visual style typical of the film.,1.404,
6123,Desire,Sehnsucht,1921,en,de,7,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,mismatch,0.9,BAJAZZO,"The poster features the word 'BAJAZZO,' which does not match the catalog film title 'Desire' or 'Sehnsucht.'",1.709,
6404,Nosferatu the Vampyre,Nosferatu - Phantom der Nacht,1979,de,sv,18,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Nosferatu the Vampyre,The poster features the title 'Nosferatu the Vampyre' and iconic vampire imagery matching the film's style.,1.583,
6498,Nightwatch,Nattevagten,1994,da,en,11,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,NIGHT WATCH,The poster displays the exact title 'NIGHT WATCH' matching the catalog entry.,1.787,
7006,White Noise 2: The Light,White Noise 2: The Light,2007,en,en,12,0.25,0.25,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.9,WHITE NOISE 2,The poster displays the exact title 'WHITE NOISE 2' matching the catalog entry.,1.32,
7091,Vampire's Kiss,Vampire's Kiss,1988,en,en,9,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,VAMPIRE'S KISS,The poster clearly displays the title 'VAMPIRE'S KISS' and features a stylized image consistent with the film's aesthetic.,1.117,
7180,RISEN,RISEN,2008,en,en,91,0.0,0.0,nova-pro,us.amazon.nova-pro-v1:0,ok,mismatch,0.95,WORLD OF THE LIVING DEAD,"The poster clearly shows a different title, 'WORLD OF THE LIVING DEAD', which does not match the catalog film 'RISEN'.",2.433,
7219,Zombie Flesh Eaters,Zombi 2,1979,it,en,6,0.3333,0.3333,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.9,ZOMBIE,The poster features a classic zombie imagery and the word 'ZOMBIE' aligns with the film's branding.,0.951,
8555,Creep,Creep,2004,en,en,20,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,CREEP,The poster displays the exact title 'CREEP' and features a recognizable horror-themed visual style consistent with the film.,1.623,
8851,The Blob,The Blob,1958,en,en,4,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,THE BLOB,The poster prominently displays the title 'THE BLOB' and features classic 1950s horror imagery consistent with the 1958 film.,2.102,
9030,The Eye,The Eye,2008,en,en,6,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,THE EYE,"The poster displays the exact title 'THE EYE' in large, prominent text, matching the catalog entry.",1.615,
9059,Tales from the Crypt: Demon Knight,Tales from the Crypt: Demon Knight,1995,en,en,12,0.3333,0.3333,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.9,DEMON KNIGHT,The poster features the title 'DEMON KNIGHT' and matches the horror theme and visual style typical of Tales from the Crypt.,9.23,
9299,Thesis,Tesis,1996,es,en,7,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,TESIS,"The poster displays the title 'TESIS' in red capital letters, matching the catalog film's original title.",1.012,
9357,One Hour Photo,One Hour Photo,2002,en,en,16,0.3333,0.3333,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,One Hour Photo,"The poster clearly displays the title 'One Hour Photo' and features a man looking upwards, consistent with the film's iconic imagery.",1.789,
9423,Virus,Virus,1999,en,la,7,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,VIRUS,The poster clearly displays the title 'VIRUS' and features the iconic lightning and Earth imagery associated with the 1999 film.,0.918,
9533,Red Dragon,Red Dragon,2002,en,en,9,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,RED DRAGON,The poster displays the exact title 'RED DRAGON' and features a visual style consistent with the film's branding.,1.514,
9544,FearDotCom,FearDotCom,2002,en,en,12,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,fEaR dOt CoM,The title 'fEaR dOt CoM' is clearly visible and matches the catalog film title.,1.896,
9674,Ringu 0,リング０　バースデイ,2000,ja,en,4,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,RING 0,The poster displays the exact title 'RING 0' and features iconic imagery consistent with the Ringu series.,1.136,
9755,Bloodsuckers,Bloodsuckers,2005,en,en,104,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,BLOODSUCKERS,"The poster displays the exact title 'BLOODSUCKERS' and features a vampire-like character, aligning with the catalog entry.",1.31,
9827,Phantoms,Phantoms,1998,en,pt,8,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,PHANTOMS,"The poster prominently displays the title 'PHANTOMS' in large, clear text, matching the catalog entry.",1.681,
9937,El Chupacabra,El Chupacabra,2003,en,en,228,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,El Chupacabra,The poster prominently displays the title 'El Chupacabra' and features iconic horror imagery consistent with the film's branding.,1.231,
9945,Vampires,Vampires,1998,en,en,8,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Vampires,The poster features the title 'Vampires' and iconic imagery consistent with the 1998 film.,1.865,
10008,An American Haunting,An American Haunting,2005,en,en,19,0.3333,0.3333,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,AN AMERICAN HAUNTING,The poster displays the exact title 'AN AMERICAN HAUNTING' matching the catalog entry.,1.175,
10031,Devil's Harvest,Devil's Harvest,2003,en,en,14,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.9,A SAFRA DO DIABO,"The poster features a title that translates to 'Devil's Harvest' in Portuguese, aligning with the catalog film title.",6.927,
10041,Broken,Broken,2006,en,en,6,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.9,BROKEN,The visible title 'BROKEN' matches the catalog film title exactly.,1.767,
10042,Within,Within,2005,en,ca,10,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,mismatch,0.9,The Cavern,"The poster clearly displays the title 'The Cavern,' which does not match the catalog film 'Within.'",2.11,
10089,Evil Bong,Evil Bong,2006,en,en,8,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,EVILBONG,The poster prominently displays the title 'EVILBONG' and features iconic imagery associated with the film.,3.66,
10124,Heartstopper,Heartstopper,2006,en,en,13,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,HEART STOPPER,"The poster displays the exact title 'HEART STOPPER' and features graphic, horror-themed imagery consistent with the film's genre.",0.985,
10263,Tamara,Tamara,2005,en,en,6,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,TAMARA,The poster features the exact title 'TAMARA' and matches the expected horror theme with a central character holding an axe in a school hallway setting.,2.334,
10336,Spawn,Spawn,1997,en,,8,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,SPAWN,The poster features the iconic Spawn mask and the title 'SPAWN' clearly displayed.,1.997,
10359,Resurrection,Resurrection,1999,en,en,110,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Resurrection,The poster displays the exact title 'Resurrection' and matches the visual style typical of horror films from the late 1990s.,1.518,
10489,Cujo,Cujo,1983,en,en,4,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Cujo,"The poster features the title 'Cujo' and iconic imagery of a rabid dog, matching the catalog entry.",1.489,
10578,Dracula II: Ascension,Dracula II: Ascension,2003,en,it,19,0.3333,0.3333,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,DRACULA II ASCENSION,The poster clearly displays the exact title 'DRACULA II ASCENSION' matching the catalog entry.,1.472,
10725,Wolfen,Wolfen,1981,en,en,5,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,WOLFEN,"The poster features the title 'WOLFEN' and an iconic wolf-like creature, matching the film's branding and theme.",2.073,
10836,Dagon,Dagon,2001,en,tl,5,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,DAGON,"The poster displays the exact title 'DAGON' in large, bold letters, matching the catalog entry.",2.061,
10906,Pet Sematary II,Pet Sematary II,1992,en,en,16,0.3333,0.3333,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,PET SEMATARY TWO,The poster clearly displays the title 'PET SEMATARY TWO' matching the catalog entry.,2.695,
11033,Dressed to Kill,Dressed to Kill,1980,en,en,14,0.3333,0.3333,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,DRESSED TO KILL,The poster displays the exact title 'DRESSED TO KILL' and features iconic imagery consistent with the film's style.,1.539,
11252,Psycho,Psycho,1998,en,id,6,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,PSYCHO,"The poster features the iconic title 'PSYCHO' and a stylized hand pressing against a glass, strongly aligning with the film's branding.",3.275,
11366,Uzumaki,うずまき,2000,ja,bs,7,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,UZUMAKI うずまき,"The poster prominently displays the title 'UZUMAKI' along with its Japanese translation, matching the catalog entry.",1.457,
11428,Sleepwalkers,Sleepwalkers,1992,en,en,14,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,SLEEPWALKERS,"The poster clearly displays the title 'Sleepwalkers' and features iconic imagery of cats and a haunted house, matching the film's branding.",2.097,
11508,Addams Family Reunion,Addams Family Reunion,,,ilo,6,0.3333,0.3333,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Addams Family Reunion,The poster clearly displays the title 'Addams Family Reunion' and features iconic Addams Family characters.,1.374,
11811,Leprechaun,Leprechaun,1993,en,en,10,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Leprechaun,"The poster clearly displays the title 'Leprechaun' and features a silhouette of a leprechaun, matching the catalog entry.",1.591,
11822,Nekromantik,Nekromantik,1987,de,et,11,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,NEKROMANTIK,The poster prominently displays the title 'NEKROMANTIK' and features iconic imagery consistent with the film's themes.,1.463,
11906,Suspiria,Suspiria,1977,it,en,8,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Suspiria,"The poster features the title 'Suspiria' and a stylized, iconic image consistent with the 1977 film.",2.025,
11917,Saw V,Saw V,2008,en,en,5,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,SAW V,"The poster features the title 'SAW V' and a character in a restraint, consistent with the Saw film series.",2.031,
12487,Gozu,極道恐怖大劇場 牛頭 GOZU,2003,ja,ht,6,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Gozu,The poster prominently displays the title 'Gozu' and features stylized imagery consistent with the film's known aesthetic.,1.996,
12517,The Ordeal,Calvaire,2005,fr,fr,8,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,CALVAIRE,"The poster displays the original French title 'CALVAIRE,' matching the catalog entry for 'The Ordeal.'",1.18,
12532,Rottweiler,Rottweiler,2004,en,en,11,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,ROTT WEILER,"The poster displays the exact title 'ROTT WEILER' and features a stylized skeletal dog, which aligns with the film's branding and theme.",1.66,
12617,Midnight Lace,Midnight Lace,1960,en,en,8,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Midnight Lace,"The poster features the exact title 'Midnight Lace' and iconic imagery of a woman on the phone, matching the film's known visual style.",1.624,
12662,Psycho III,Psycho III,1986,en,fr,37,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,PSYCHO III,"The poster clearly displays the title 'PSYCHO III' and features the iconic Bates Motel, matching the catalog entry.",1.681,
13059,The Signal,The Signal,2008,en,en,9,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,THE SIGNAL,"The title 'THE SIGNAL' is clearly displayed at the top of the poster, matching the catalog entry.",2.017,
13276,Deadwater,Deadwater,2008,en,en,53,0.0,0.0,nova-pro,us.amazon.nova-pro-v1:0,ok,mismatch,0.9,BlackOps,"The poster clearly shows the title 'BlackOps', which does not match the catalog film 'Deadwater'.",1.874,
13511,Rawhead Rex,Rawhead Rex,1986,en,en,10,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,RAWHEADREX,The poster features the exact title 'RAWHEADREX' and a creature matching the film's iconic monster design.,1.978,
13553,The Driller Killer,The Driller Killer,1979,en,en,14,0.3333,0.3333,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,DRILLER KILLER,"The poster features the exact title 'DRILLER KILLER' and iconic imagery of a man holding a power drill, matching the catalog entry.",1.69,
14098,100 Feet,100 Feet,2008,en,en,10,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,100 FEET,"The poster displays the exact title '100 FEET' and features a woman in a distressed pose, consistent with the horror theme of the film.",1.619,
14212,Pulse 2: Afterlife,Pulse 2: Afterlife,2008,en,en,6,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,PULSE 2,"The poster clearly displays the title 'PULSE 2', matching the catalog entry for 'Pulse 2: Afterlife'.",0.926,
14219,Skinwalkers,Skinwalkers,2006,en,en,12,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,SKIN WALKERS,"The poster displays the exact title 'SKIN WALKERS' and features a dramatic, horror-themed image consistent with the film's genre.",2.948,
14255,Pulse 3,Pulse 3,2008,en,en,6,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,PULSE 3,The poster clearly displays the title 'PULSE 3' and features horror-themed imagery consistent with the film series.,6.161,
14372,Leviathan,Leviathan,1989,en,en,28,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,LEVIATHAN,The poster displays the exact title 'LEVIATHAN' and features underwater action consistent with the film's theme.,2.208,
14435,My Bloody Valentine,My Bloody Valentine,2009,en,en,19,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,MY BLOODY VALENTINE,The poster displays the exact title 'MY BLOODY VALENTINE' and features a horror-themed visual style consistent with the film.,2.398,
14564,Rings,Rings,2017,en,en,9,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,rings,The poster displays the title 'rings' and features a horror-themed visual consistent with the film.,1.326,
14838,Hit and Run,Hit and Run,2009,en,en,9,0.3333,0.3333,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.9,HIT AND RUN,"The poster displays the exact title 'HIT AND RUN' and features a hand with keys and blood, aligning with the film's thriller genre.",1.586,
14913,Boogeyman 2,Boogeyman 2,2007,en,en,10,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,BOOGEYMAN2,The poster clearly displays the title 'BOOGEYMAN2' and features horror-themed imagery consistent with the film.,0.829,
15057,The Evil Woods,The Evil Woods,2007,en,en,30,0.3333,0.3333,nova-pro,us.amazon.nova-pro-v1:0,ok,mismatch,0.9,The Devil's Chair,"Poster clearly shows 'The Devil's Chair', not 'The Evil Woods'.",1.791,
15203,Strangler vs Strangler,Давитељ против давитеља,1984,sh,en,7,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,mismatch,0.9,,The poster features stylized text and imagery that do not correspond to the title or known visual elements of 'Strangler vs Strangler'.,2.469,
15206,The Mother of Tears,La terza madre,2007,it,en,14,0.25,0.25,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,MOTHER OF TEARS,The poster displays the exact title 'MOTHER OF TEARS' matching the catalog entry.,1.144,
15262,Boogeyman 3,Boogeyman 3,2008,en,en,10,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,BOOGEYMAN3,The poster clearly displays the title 'BOOGEYMAN3' and features a horror-themed visual style consistent with the film.,1.375,
15724,Encounter of the Spooky Kind,鬼打鬼,1980,cn,en,26,0.2,0.2,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,鬼打鬼,"The poster displays the original Chinese title 鬼打鬼 and the English translation 'Spooky Encounters', matching the catalog entry.",1.6,
16184,The Happiness of the Katakuris,カタクリ家の幸福,2002,ja,en,21,0.25,0.25,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,The Happiness of the Katakuris,"The poster displays the exact title and distinctive surreal, colorful style associated with the film.",1.512,
16209,Jesus Christ Vampire Hunter,Jesus Christ Vampire Hunter,2001,en,en,30,0.25,0.25,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,JESUS CHRIST VAMPIRE HUNTER,The poster displays the exact title 'JESUS CHRIST VAMPIRE HUNTER' and features characters consistent with the film's theme.,1.213,
16221,Dororo,どろろ,2007,ja,en,38,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,DORORO,The poster displays the exact title 'DORORO' and features iconic samurai imagery consistent with the film.,1.88,
