id,model,title_overlap_score,status
1578643,gemma4-26b-free-hard,1.0,ok
10283,nemotron-omni-free-hard,0.875,ok
26921,nemotron-omni-free-hard,1.0,ok
28265,nemotron-omni-free-hard,0.3333,ok
233194,nemotron-omni-free-hard,1.0,ok
286452,nemotron-omni-free-hard,1.0,ok
653537,nemotron-omni-free-hard,0.0,ok
1405670,nemotron-omni-free-hard,0.0,ok
1483743,nemotron-omni-free-hard,1.0,ok
1578643,nemotron-omni-free-hard,0.0,ok
10283,gemini-2.5-flash-or-hard,0.875,ok
26921,gemini-2.5-flash-or-hard,1.0,ok
28265,gemini-2.5-flash-or-hard,0.3333,ok
233194,gemini-2.5-flash-or-hard,1.0,ok
286452,gemini-2.5-flash-or-hard,1.0,ok
653537,gemini-2.5-flash-or-hard,0.0,ok
1405670,gemini-2.5-flash-or-hard,0.0,ok
1483743,gemini-2.5-flash-or-hard,1.0,ok
1578643,gemini-2.5-flash-or-hard,1.0,ok
10283,qwen3-vl-32b-hard,0.875,ok
26921,qwen3-vl-32b-hard,1.0,ok
28265,qwen3-vl-32b-hard,0.3333,ok
233194,qwen3-vl-32b-hard,1.0,ok
286452,qwen3-vl-32b-hard,1.0,ok
653537,qwen3-vl-32b-hard,0.0,ok
1405670,qwen3-vl-32b-hard,0.0,ok
1483743,qwen3-vl-32b-hard,1.0,ok
1578643,qwen3-vl-32b-hard,1.0,ok
10283,gemma4-31b-hard,0.875,ok
26921,gemma4-31b-hard,1.0,ok
28265,gemma4-31b-hard,1.0,ok
233194,gemma4-31b-hard,1.0,ok
286452,gemma4-31b-hard,1.0,ok
653537,gemma4-31b-hard,1.0,ok
1405670,gemma4-31b-hard,0.0,ok
1483743,gemma4-31b-hard,1.0,ok
1578643,gemma4-31b-hard,1.0,ok
26921,gemma4-31b,1.0,ok
10283,gemma4-31b,0.875,ok
28265,gemma4-31b,0.3333,ok
233194,gemma4-31b,1.0,ok
286452,gemma4-31b,1.0,ok
653537,gemma4-31b,1.0,ok
1405670,gemma4-31b,0.0,ok
1483743,gemma4-31b,1.0,ok
1578643,gemma4-31b,1.0,ok
